"species","lake","length","weight","st_weight"
"SMB","Clear",96,12,0.2
"SMB","Clear",100,14,0.1
"SMB","Clear",104,16,0.16
"SMB","Clear",125,29,0.34
"SMB","Clear",139,36,0.39
"SMB","Clear",143,34,0.02
"SMB","Clear",150,41,0.01
"SMB","Clear",151,48,0.66
"SMB","Clear",151,51,0.36
"SMB","Clear",152,39,0.01
"SMB","Clear",152,40,3.11
"SMB","Clear",152,54,0.02
"SMB","Clear",152,56,0.01
"SMB","Clear",153,48,1.03
"SMB","Clear",155,52,0.33
"SMB","Clear",156,45,0.55
"SMB","Clear",157,55,1.15
"SMB","Clear",158,48,0.14
"SMB","Clear",159,45,1.1
"SMB","Clear",159,48,0.01
"SMB","Clear",159,48,0.04
"SMB","Clear",159,51,2.05
"SMB","Clear",159,61,0.9
"SMB","Clear",160,51,0.73
"SMB","Clear",162,58,0.01
"SMB","Clear",164,52,0.2
"SMB","Clear",165,47,0.03
"SMB","Clear",165,55,0.74
"SMB","Clear",166,62,0.71
"SMB","Clear",168,60,2.27
"SMB","Clear",169,53,1.07
"SMB","Clear",170,59,1.5
"SMB","Clear",170,73,0.22
"SMB","Clear",171,62,0.21
"SMB","Clear",171,68,1.01
"SMB","Clear",172,75,1.28
"SMB","Clear",173,57,0.19
"SMB","Clear",173,64,0.21
"SMB","Clear",173,79,0.03
"SMB","Clear",174,66,0.91
"SMB","Clear",174,69,0.33
"SMB","Clear",175,55,0.82
"SMB","Clear",175,60,0.41
"SMB","Clear",175,72,0.12
"SMB","Clear",175,93,0.02
"SMB","Clear",176,77,0.25
"SMB","Clear",176,90,1.59
"SMB","Clear",177,82,0.18
"SMB","Clear",178,70,0.01
"SMB","Clear",178,75,0.28
"SMB","Clear",178,82,0.01
"SMB","Clear",179,68,0.53
"SMB","Clear",179,76,1.38
"SMB","Clear",180,75,0.01
"SMB","Clear",180,76,0.49
"SMB","Clear",180,92,0.02
"SMB","Clear",181,93,0.52
"SMB","Clear",182,80,1.49
"SMB","Clear",182,82,1.27
"SMB","Clear",182,94,1.13
"SMB","Clear",183,88,0.35
"SMB","Clear",185,84,0.49
"SMB","Clear",185,85,0.03
"SMB","Clear",185,98,2.51
"SMB","Clear",186,85,0.42
"SMB","Clear",188,98,1.32
"SMB","Clear",189,96,0.17
"SMB","Clear",190,103,6.09
"SMB","Clear",191,82,0.57
"SMB","Clear",191,110,1.2
"SMB","Clear",192,94,0.33
"SMB","Clear",192,109,0.1
"SMB","Clear",193,105,2.71
"SMB","Clear",194,105,0.63
"SMB","Clear",196,107,0.23
"SMB","Clear",200,110,0.31
"SMB","Clear",202,113,0.36
"SMB","Clear",203,111,0.11
"SMB","Clear",203,133,0.31
"SMB","Clear",204,90,1.81
"SMB","Clear",205,104,0.76
"SMB","Clear",205,110,0.92
"SMB","Clear",205,119,0.44
"SMB","Clear",205,121,2.68
"SMB","Clear",205,135,1.01
"SMB","Clear",206,126,0.39
"SMB","Clear",206,127,1.1
"SMB","Clear",206,130,3.26
"SMB","Clear",207,126,2.11
"SMB","Clear",208,111,0.69
"SMB","Clear",209,117,0.33
"SMB","Clear",210,112,0.03
"SMB","Clear",210,112,0.44
"SMB","Clear",210,137,1.88
"SMB","Clear",215,121,0.24
"SMB","Clear",215,125,0.4
"SMB","Clear",215,135,2.5
"SMB","Clear",215,146,1.82
"SMB","Clear",219,159,2.9
"SMB","Clear",220,141,0.37
"SMB","Clear",221,152,0.32
"SMB","Clear",221,186,2.71
"SMB","Clear",222,134,0.05
"SMB","Clear",222,139,0.4
"SMB","Clear",222,148,0.09
"SMB","Clear",222,160,1.48
"SMB","Clear",222,172,2.37
"SMB","Clear",223,161,7.14
"SMB","Clear",224,164,5.11
"SMB","Clear",224,180,2.15
"SMB","Clear",225,145,0.12
"SMB","Clear",225,180,1.21
"SMB","Clear",226,150,3.21
"SMB","Clear",228,165,0.55
"SMB","Clear",228,185,1.33
"SMB","Clear",229,200,3.14
"SMB","Clear",230,170,7.52
"SMB","Clear",230,195,2.99
"SMB","Clear",230,195,4.25
"SMB","Clear",232,176,0.02
"SMB","Clear",232,188,0.02
"SMB","Clear",233,274,0.19
"SMB","Clear",234,185,5.81
"SMB","Clear",237,204,4.74
"SMB","Clear",239,206,1.22
"SMB","Clear",240,182,0.52
"SMB","Clear",242,173,0.21
"SMB","Clear",244,215,2.51
"SMB","Clear",245,224,4.27
"SMB","Clear",245,236,1.58
"SMB","Clear",246,218,0.25
"SMB","Clear",247,197,0.33
"SMB","Clear",250,226,0.34
"SMB","Clear",251,243,3.28
"SMB","Clear",252,244,0.76
"SMB","Clear",254,251,0.26
"SMB","Clear",254,261,3.65
"SMB","Clear",255,266,0.67
"SMB","Clear",256,266,0.74
"SMB","Clear",260,264,0.86
"SMB","Clear",260,266,0.87
"SMB","Clear",260,267,0.03
"SMB","Clear",262,272,0.52
"SMB","Clear",262,272,5.28
"SMB","Clear",262,298,0.35
"SMB","Clear",264,260,0.4
"SMB","Clear",264,307,0.1
"SMB","Clear",266,264,11.17
"SMB","Clear",274,286,1.27
"SMB","Clear",274,293,0.96
"SMB","Clear",274,298,0.9
"SMB","Clear",275,282,0.231
"SMB","Clear",275,313,5.89
"SMB","Clear",276,307,1.81
"SMB","Clear",280,302,6.6
"SMB","Clear",280,332,1.87
"SMB","Clear",280,340,4.16
"SMB","Clear",280,367,2.35
"SMB","Clear",281,249,10.94
"SMB","Clear",281,313,6.41
"SMB","Clear",281,341,1.94
"SMB","Clear",282,292,0.66
"SMB","Clear",282,313,3.13
"SMB","Clear",283,329,1.01
"SMB","Clear",283,370,0.05
"SMB","Clear",284,322,4.45
"SMB","Clear",284,353,1.55
"SMB","Clear",285,329,0.02
"SMB","Clear",285,384,1.99
"SMB","Clear",286,353,0.01
"SMB","Clear",286,353,0.07
"SMB","Clear",287,304,0.21
"SMB","Clear",287,315,0.46
"SMB","Clear",289,330,0.19
"SMB","Clear",289,382,7.28
"SMB","Clear",290,340,0.01
"SMB","Clear",290,353,0.36
"SMB","Clear",290,372,3.16
"SMB","Clear",290,376,0.06
"SMB","Clear",290,377,4.73
"SMB","Clear",292,350,0.36
"SMB","Clear",293,374,0.74
"SMB","Clear",296,363,5.22
"SMB","Clear",296,416,9.42
"SMB","Clear",300,390,0.13
"SMB","Clear",300,411,0.03
"SMB","Clear",301,431,4.54
"SMB","Clear",304,392,0.2
"SMB","Clear",305,412,0.34
"SMB","Clear",307,443,2.06
"SMB","Clear",309,406,4.64
"SMB","Clear",309,431,3.11
"SMB","Clear",309,489,6.37
"SMB","Clear",310,397,0.3
"SMB","Clear",310,452,2.9
"SMB","Clear",310,461,2.94
"SMB","Clear",314,513,7.89
"SMB","Clear",315,533,0.45
"SMB","Clear",316,485,4.52
"SMB","Clear",317,478,2.81
"SMB","Clear",319,461,4.23
"SMB","Clear",320,508,11.8
"SMB","Clear",320,525,9.48
"SMB","Clear",322,504,2.55
"SMB","Clear",324,516,0.32
"SMB","Clear",324,538,3.05
"SMB","Clear",325,521,3.32
"SMB","Clear",327,612,3.88
"SMB","Clear",330,611,14.18
"SMB","Clear",331,563,5.98
"SMB","Clear",332,529,5.77
"SMB","Clear",339,615,5.04
"SMB","Clear",340,589,5.22
"SMB","Clear",342,692,1.25
"SMB","Clear",349,672,2.37
"SMB","Clear",351,472,5.18
"SMB","Clear",351,639,3.38
"SMB","Clear",351,641,8.6
"SMB","Clear",351,649,12.74
"SMB","Clear",352,810,0.32
"SMB","Clear",362,655,2.4
"SMB","Clear",365,707,2.2
"SMB","Clear",365,766,2.65
"SMB","Clear",370,283,9.47
"SMB","Clear",373,800,2.46
"SMB","Clear",380,865,4.69
"SMB","Clear",380,1007,11.07
"SMB","Clear",383,841,4.37
"SMB","Clear",384,777,1.15
"SMB","Clear",385,914,6.78
"SMB","Clear",390,905,18.35
"SMB","Clear",390,979,1.76
"SMB","Clear",390,989,6.39
"SMB","Clear",394,1026,21.8
"SMB","Clear",395,935,12.54
"SMB","Clear",396,1050,0.4
"SMB","Clear",400,987,0.45
"SMB","Clear",400,1025,23.14
"SMB","Clear",400,1037,1.55
"SMB","Clear",403,1116,0.28
"SMB","Clear",408,1260,29.09
"SMB","Clear",410,1097,16.26
"SMB","Clear",410,1127,7.06
"SMB","Clear",416,1024,1.76
"SMB","Clear",417,1041,5.7
"SMB","Clear",417,1074,9.81
"SMB","Clear",417,1221,1.3
