"species","psd","lake","wre_wr","wre_wrmax","wr_wrmax"
"SMB","SS","Clear",-1,-18,-17
"SMB","SS","Enemy.Swim",-2,-24,-22
"SMB","SS","Pickerel",-1,-21,-21
"SMB","SS","Roy",-3,-25,-23
"SMB","S-Q","Clear",-1,-9,-7
"SMB","S-Q","Enemy.Swim",-2,-10,-8
"SMB","S-Q","Pickerel",-1,-8,-6
"SMB","S-Q","Roy",-1,-9,-8
"SMB","Q-P","Clear",-2,-5,-3
"SMB","Q-P","Enemy.Swim",-1,-5,-4
"SMB","Q-P","Pickerel",0,-4,-4
"SMB","Q-P","Roy",-2,-5,-4
"SMB","P-M","Clear",-1,-4,-3
"SMB","P-M","Enemy.Swim",0,-4,-4
"SMB","P-M","Pickerel",-1,-4,-2
"SMB","P-M","Roy",-1,-4,-3
"SMB","M-T","Clear",-1,-3,-3
"SMB","M-T","Enemy.Swim",-1,-3,-3
"SMB","M-T","Pickerel",-1,-3,-2
"SMB","M-T","Roy",-1,-3,-3
"WAE","SS","Bitter",-1,-18,-18
"WAE","SS","Harlan.res",-1,-8,-7
"WAE","SS","Pelican",0,-12,-12
"WAE","S-Q","Bitter",0,-6,-6
"WAE","S-Q","Harlan.res",-1,-6,-5
"WAE","S-Q","Kansas",-2,-6,-3
"WAE","S-Q","MO.river",0,-6,-5
"WAE","S-Q","Pelican",-2,-7,-5
"WAE","S-Q","Twin",-1,-8,-7
"WAE","Q-P","Bitter",-1,-5,-5
"WAE","Q-P","Harlan.res",0,-5,-4
"WAE","Q-P","Kansas",-1,-6,-5
"WAE","Q-P","MO.river",-1,-5,-4
"WAE","Q-P","Pelican",-1,-5,-4
"WAE","Q-P","Twin",0,-5,-5
"WAE","P-M","Bitter",0,-5,-4
"WAE","P-M","Harlan.res",0,-4,-4
"WAE","P-M","Kansas",-2,-5,-3
"WAE","P-M","MO.river",0,-5,-5
"WAE","P-M","Pelican",0,-4,-4
"WAE","M-T","Harlan.res",0,-4,-4
"WAE","M-T","Kansas",-2,-5,-3
"WAE","M-T","Pelican",-2,-4,-2
"WAE","M-T","Twin",-3,-5,-1
