"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"Clear","Clear","Clear","Clear","Clear","Enemy.Swim","Enemy.Swim","Enemy.Swim","Enemy.Swim","Enemy.Swim","Pickerel","Pickerel","Pickerel","Pickerel","Pickerel","Roy","Roy","Roy","Roy","Roy"
"SS","S-Q","Q-P","P-M","M-T","SS","S-Q","Q-P","P-M","M-T","SS","S-Q","Q-P","P-M","M-T","SS","S-Q","Q-P","P-M","M-T"
" 53","101"," 61"," 40"," 39"," 83","106"," 30"," 29","  4"," 61"," 95"," 69"," 64","  7"," 77","108"," 44"," 17"," 43"
"0.5956","0.3591","0.4672","0.5689","0.5757","0.4595","0.3722","0.3980","0.6768","0.6857","0.5560","0.5214","0.3337","0.3369","0.6200","0.5656","0.3691","0.3410","0.6584","0.3992"
"-1.0706","-1.3323","-1.5439","-0.5922","-0.8153","-2.4069","-2.1296","-1.1709","-0.2211","-0.8483","-0.7991","-1.4334","-0.4961","-1.2048","-1.3093","-2.6143","-0.6491","-1.6750","-0.7547","-0.9791"
"0.0055","0.0008","0.0125","0.1326","0.2266","0.0002","0.0024","0.0253","0.2095","0.6857","0.0001","0.0023","0.0049","0.0243","0.5350","0.0020","0.0005","0.0377","0.2313","0.0766"
" -6.2046"," -3.5211"," -2.9965"," -2.6446"," -2.5903"," -9.2157"," -5.2062"," -2.9880"," -2.6635"," -2.5806"," -7.4942"," -3.8590"," -2.9641"," -2.7680"," -2.6364","-11.4656"," -4.1437"," -3.0327"," -2.6278"," -2.5852"
"0.0000","0.0000","0.0002","0.0317","0.1418","0.0000","0.0000","0.0012","0.0872","0.6857","0.0000","0.0000","0.0000","0.0016","0.5350","0.0000","0.0000","0.0011","0.1309","0.0216"
"-15.6788"," -7.7641"," -4.6810"," -3.6064"," -3.4392","-20.0691"," -9.3761"," -4.6553"," -3.6326"," -3.4093","-17.0798"," -7.7951"," -4.6158"," -3.9685"," -3.5811","-20.8641"," -7.7993"," -5.0045"," -3.5548"," -3.4233"
"0.0147","0.0105","0.0523","0.2399","0.3684","0.0009","0.0220","0.1058","0.2999","0.6857","0.0004","0.0132","0.0511","0.1924","0.5350","0.0083","0.0075","0.1897","0.3223","0.2819"
" -6.2046"," -3.5211"," -2.9965"," -2.6446"," -2.5903"," -9.2157"," -5.2062"," -2.9880"," -2.6635"," -2.5806"," -7.4942"," -3.8590"," -2.9641"," -2.7680"," -2.6364","-11.4656"," -4.1437"," -3.0327"," -2.6278"," -2.5852"
"0.0000","0.0000","0.0017","0.0914","0.2228","0.0000","0.0000","0.0055","0.1322","0.6857","0.0000","0.0000","0.0002","0.0197","0.5350","0.0000","0.0000","0.0119","0.2181","0.0999"
"-14.7663"," -6.5186"," -3.1863"," -3.0322"," -2.6455","-18.0978"," -7.4041"," -3.5256"," -3.4190"," -2.5828","-16.4118"," -6.4542"," -4.1402"," -2.7974"," -2.3020","-18.7397"," -7.1969"," -3.3862"," -2.8214"," -2.4684"
