"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24"
"SS","SS","SS","S-Q","S-Q","S-Q","S-Q","S-Q","S-Q","Q-P","Q-P","Q-P","Q-P","Q-P","Q-P","P-M","P-M","P-M","P-M","P-M","M-T","M-T","M-T","M-T"
"Bitter","Harlan.res","Pelican","Bitter","Harlan.res","Kansas","MO.river","Pelican","Twin","Bitter","Harlan.res","Kansas","MO.river","Pelican","Twin","Bitter","Harlan.res","Kansas","MO.river","Pelican","Harlan.res","Kansas","Pelican","Twin"
" 68","  5","  8"," 81"," 50"," 44"," 36"," 14","  9","186"," 61","187"," 52"," 28","  8"," 11"," 14"," 32","  7","  8","  9"," 18","  4","  3"
"0.2426","0.6905","0.6454","0.5443","0.5372","0.5704","0.5195","0.3519","0.7304","0.4586","0.5423","0.6091","0.6281","0.6547","0.7209","0.7477","0.7477","0.6336","0.7104","0.7209","0.7304","0.5797","0.6857","0.4000"
"-0.5393","-2.8333","-0.3177","-0.5224","-1.1228","-2.4025","-0.2352","-1.7665","-0.6875","-0.5633","-0.4724","-0.6245","-1.1104","-0.9486","-0.4009","-0.2581","-0.0245","-2.0312","-0.1206","-0.3598","-0.0645","-1.7989","-2.0962","-3.3699"
"0.0000","0.6905","0.1304","0.2291","0.7329","0.4672","0.4495","0.3287","0.6665","0.0009","0.0853","0.0132","0.1480","0.1346","0.4418","0.4385","0.0849","0.2209","0.7104","0.5737","0.4363","0.2516","0.6857","0.4000"
"18.4526","10.5159"," 8.2383","-1.7190","-1.0356","-2.0080","-1.6274","-0.9548","-0.7878","-2.6306","-2.2905","-2.6841","-2.5480","-2.6745","-2.7667","-2.8939","-3.0032","-3.0877","-2.9075","-2.9688","-3.2071","-3.1848","-3.1741","-3.1772"
"0.0000","0.6905","0.0070","0.0000","0.0022","0.0122","0.0015","0.0091","0.0625","0.0000","0.0002","0.0000","0.0008","0.0135","0.3823","0.2169","0.0212","0.0845","0.4557","0.3823","0.3401","0.1108","0.6857","0.4000"
"-16.0330","-14.9272","-11.6605"," -6.5394"," -6.8701"," -5.6361"," -6.0079"," -6.3076"," -7.6949"," -5.1091"," -5.4023"," -5.1786"," -5.1970"," -4.9960"," -4.9078"," -4.7856"," -4.6802"," -4.5982"," -4.7726"," -4.7134"," -4.4820"," -4.5037"," -4.5142"," -4.5111"
"0.0000","0.6905","0.0650","0.4755","0.8876","0.7745","0.7582","0.9459","0.7304","0.0076","0.2023","0.0455","0.2705","0.2570","0.4418","0.4779","0.0849","0.4115","0.9015","0.5737","0.4363","0.5010","1.0000","1.0000"
"18.4526","10.5159"," 8.2383","-1.7190","-1.0356","-2.0080","-1.6274","-0.9548","-0.7878","-2.6306","-2.2905","-2.6841","-2.5480","-2.6745","-2.7667","-2.8939","-3.0032","-3.0877","-2.9075","-2.9688","-3.2071","-3.1848","-3.1741","-3.1772"
"0.0000","0.6905","0.0104","0.0000","0.0080","0.0392","0.0062","0.0308","0.0939","0.0000","0.0010","0.0000","0.0028","0.0375","0.3823","0.2426","0.0212","0.1699","0.5350","0.4418","0.3401","0.2516","0.6857","0.5066"
"-15.5777","-12.4465","-11.3789"," -6.0486"," -5.8126"," -3.3132"," -5.7864"," -4.6227"," -7.0560"," -4.5715"," -4.9533"," -4.5828"," -4.1325"," -4.0862"," -4.5251"," -4.5393"," -4.6568"," -2.6202"," -4.6576"," -4.3694"," -4.4203"," -2.7544"," -2.4698"," -1.1810"
